Date,Dataset,Predicted Price,Trend
2021-07-18,processed_ds1,37496.383,Increase
2021-07-19,processed_ds1,35433.484,Decrease
2021-07-20,processed_ds1,35134.33,Decrease
2021-07-21,processed_ds1,41854.0,Increase
2021-07-22,processed_ds1,37385.453,Decrease
2021-07-23,processed_ds1,40059.73,Increase
2021-07-24,processed_ds1,37973.57,Decrease
2021-07-25,processed_ds1,40887.145,Increase
2021-07-26,processed_ds1,42937.836,Increase
2021-07-27,processed_ds1,43498.86,Increase
2021-07-28,processed_ds1,41252.832,Decrease
2021-07-29,processed_ds1,40228.234,Decrease
2021-07-30,processed_ds1,44319.367,Increase
2021-07-31,processed_ds1,39894.633,Decrease
2021-08-01,processed_ds1,38077.047,Decrease
2021-08-02,processed_ds1,38864.484,Increase
2021-08-03,processed_ds1,37977.734,Decrease
2021-08-04,processed_ds1,42808.67,Increase
2021-08-05,processed_ds1,42623.62,Decrease
2021-08-06,processed_ds1,44277.188,Increase
2021-08-07,processed_ds1,44565.453,Increase
2021-08-08,processed_ds1,40917.125,Decrease
2021-08-09,processed_ds1,45702.555,Increase
2021-08-10,processed_ds1,41900.28,Decrease
2021-08-11,processed_ds1,42810.387,Increase
2021-08-12,processed_ds1,40792.023,Decrease
2021-08-13,processed_ds1,46687.832,Increase
